year,net,reason,hold
2022,-1.0280169625525304,stop,13
2022,0.8991758080424893,target,22
2022,1.1546475485427408,target,17
2022,0.859297432290089,target,35
2022,0.8662762492891651,target,48
2022,-1.01020789883061,stop,322
2022,-1.020597273812361,stop,5
2022,0.37898900066192076,target,229
2022,0.9912126669750104,target,8
2022,0.7812738404238321,target,52
2022,-1.0116412075904813,stop,328
2022,-1.0167672551778775,stop,49
2022,-1.0148308704477849,stop,8
2022,0.6313318265194908,target,78
2022,-1.0141146886902075,stop,11
2022,0.9181076786351086,target,45
2022,-1.011390932181901,stop,63
2022,-1.0205551543095237,stop,6
2022,0.9931112030336564,target,7
2022,-1.0075036120462657,stop,61
2022,0.8721386354118458,target,28
2022,0.9358202326694025,target,67
2022,1.316544070112092,target,16
2022,-1.0131238830604836,stop,5
2022,0.9606714290381759,target,8
2022,-1.0229956590652518,stop,14
2022,-1.0061775493507716,stop,32
2022,0.9872293710478804,target,15
2022,-1.010273739229584,stop,57
2022,0.9205780051042979,target,22
2022,-1.0083528450446866,stop,48
2022,-1.0101195677810566,stop,99
2022,0.9571702681240215,target,8
2022,-1.0083273704879065,stop,54
2022,0.8411620617513744,target,48
2022,-1.0180415569195995,stop,44
2022,1.1836457596920706,target,30
2022,-1.0126585954062406,stop,15
2022,0.8962064093888022,target,67
2022,-1.0099601020177178,stop,64
2022,-1.0074432745824,stop,320
2022,0.9956274836589613,target,42
2022,-1.0108551387265057,stop,76
2022,-0.26055550459362137,eod,318
2022,0.7586426624275687,target,67
2022,-1.0165107328641914,stop,8
2022,1.1048605040580048,target,15
2022,-0.2923810385405886,eod,354
2022,-1.011457817113864,stop,36
2022,0.6134531025749593,target,82
2022,0.8198120620329966,target,45
2022,-1.0165420161892222,stop,14
2022,0.5780085906991868,target,255
2022,-1.0089762973513363,stop,28
2022,1.0006196088105959,target,81
2022,-1.0093302295209523,stop,354
2022,0.9666246725916874,target,35
2022,-1.0157156733468589,stop,25
2022,1.3474578891748343,target,14
2022,0.9779321090878154,target,59
2022,1.0541773865862711,target,14
2022,1.3993698486087618,target,6
2022,-1.0132399549709323,stop,216
2022,0.9837438269371154,target,11
2022,0.7584730258866333,target,187
2022,0.8458504202954952,target,60
2022,-0.1176014408692085,eod,354
2022,1.0328924010519254,target,10
2022,-1.0140783616097426,stop,35
2022,-1.024473551401574,stop,6
2022,1.3030616752508437,target,4
2022,-1.0203369877680792,stop,20
2022,-1.0191418392127398,stop,37
2022,-1.0162482067520016,stop,127
2022,0.7816616185286349,target,42
2022,0.9490126349186929,target,32
2022,-1.0185253489655388,stop,12
2022,0.9575034559576491,target,5
2022,-1.0097325589353219,stop,102
2022,-1.0243360692601005,stop,18
2022,0.7699724011624511,target,48
2022,0.5684412265549015,target,292
2022,-1.0206513888620905,stop,18
2022,1.10425540221524,target,31
2022,1.0273744275484558,target,15
2022,-1.0283880337451474,stop,30
2022,0.4328681533968559,target,195
2022,1.058831234941697,target,9
